S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,MANNA LAL RAWAT,Bharatiya Janata Party,732757,5529,738286,49.27
2,TARACHAND MEENA,Indian National Congress,473167,3511,476678,31.81
3,PRAKASH CHAND,Bharat Adivasi Party,215390,1748,217138,14.49
4,DALPAT RAM GARASIA,Bahujan Samaj Party,14427,33,14460,0.97
5,DR. SAVITA KUMARI AHARI,Independent,8130,32,8162,0.54
6,PRABHULAL MEENA,Independent,7972,24,7996,0.53
7,RAJENDRA KUMAR MEENA,Indian Peoples Green Party,6752,25,6777,0.45
8,KANJI LAL DAMOR,Independent,5912,19,5931,0.4
9,NOTA,None of the Above,22848,100,22948,1.53
