S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,RAJMOHAN UNNITHAN,Indian National Congress,487637,3022,490659,44.1
2,M.V BALAKRISHNAN MASTER,Communist Party of India (Marxist),385969,4041,390010,35.06
3,M.L ASHWINI,Bharatiya Janata Party,217996,1562,219558,19.73
4,SUKUMARI M,Bahujan Samaj Party,1599,13,1612,0.14
5,RAJESWARI K.R,Independent,886,11,897,0.08
6,MANOHARAN K,Independent,777,27,804,0.07
7,ANEESH PAYYANNUR,Independent,744,15,759,0.07
8,BALAKRISHNAN N,Independent,594,34,628,0.06
9,N KESHAVA NAYAK,Independent,480,27,507,0.05
10,NOTA,None of the Above,7037,75,7112,0.64
